NumNotice	FRBNF	ARK	ISSN	Titre	Auteur	Date	Lieu	
421	FRBNF343801250000002		0397-0329	Santé magazine	 dir  publ  Jean Lacroix 	1976- 2007 -	Port Marly;Paris
434			1261-9515	Marketing magazine de la stratégie au marketing opérationnel	dir  publ  Louis Vaudeville	1995-2014	Suresnes
447	FRBNF402237170000006		1779-336X	Béton s  le magazine métiers  architecture  marché  applications  recherche	 dir  publ  Frédéric Gluzicki 	2006-	Paris
460			1777-2842	Béton s  le magazine métiers  architecture  marché  applications  recherche	 dir  publ  Frédéric Gluzicki 	2005-	Paris
473	FRBNF345266390000006		1254-1737	Classe export le magazine le mensuel du commerce international	 dir  publ  Marc Hoffmeister 	1995-	Dardilly
486	FRBNF412426810000006			Polka magazine la nouvelle revue de la photographie grands reportages   vente de tirages	Polka galerie	2008-	Paris
499			1969-9441	Studio ciné live magazine un nouveau magazine pour tous les cinémas	 directeur de la publication Philippe Boulnois 	2009-2017	Paris
512			2493-0156	GC génie climatique magazine chauffage  ventilation  climatisation  fumisterie le magazine des entreprises de génie climatique   énergétique	 directeur Jean-Christophe Raveau 	2016-	Paris
525	FRBNF451218500000003		2399-4398	Arts magazine international on ne vous avait jamais parlé d 'art comme ça   	 editor in chief Isabelle Goubier 	2016-	London, United-Kingdom;Paris
538			1267-818X	Madagascar magazine le magazine des échanges économiques  commerciaux  culturels et touristiques franco-malgaches	 dir  réd  Eric Andriamanantsara 	1996 - 1996-	Aulnay-sous-Bois;Cergy Saint-Christophe
551	FRBNF401784230000005		1951-8285	Actif 's magazine l 'actualité des ingrédients fonctionnels   santé	 dir  publ  Éric Gérard 	2006-	Créteil
564				Afrique magazine	 dir  publ  Danielle Ben Yahmed 	1989-	Paris
577	FRBNF400149580000005		1776-1395	Plastiques   caoutchoucs magazine	 dir  publ  Christophe Czajka 	2005-	Gentilly
590	FRBNF343649630000008		0245-3312	L 'Equipe magazine	dir  Jacques Goddet	1964-	Paris
603	FRBNF40001302000000X		1774-7376	Chef d 'entreprise magazine le magazine des dirigeants de petites et moyennes entreprises	 dir  publ  Hervé Lenglart 	2005-	Boulogne-Billancourt
616			2267-8417	Fisheye le magazine lifestyle de la photographie		2013-	Paris
629	FRBNF391212190000007			Arts magazine		2005-2016 2006-2016	
642	FRBNF345214950000001		1259-8682	L 'Écho touristique l 'hebdo des professionnels du tourisme		1981- 2007 -	Paris;Antony
655			1297-4781	Cosmétique magazine le magazine de tous les professionnels de la beauté-santé	 dir  publ  Hubert Zieseniss 	1999- 2015-	Paris;Boulogne-Billancourt
668	FRBNF423184270000001			Georges petit-petit-petit magazine  des histoires   des jeux   des rubriques bric-à-brac pour des enfants ni trop petits  ni trop grands 	 directrice de publication et rédactrice en chef Anne-Bénédicte Schwebel 	2010- 2010-	Lyon;[Lyon]
681			0999-4084	Arts et métiers magazine le magazine de la culture technique et de l 'aventure industrielle	Société des anciens élèves de l 'École nationale supérieure d 'arts et métiers	1989-	Paris
694	FRBNF371313180000005			Le Magazine du bibliophile et de l 'amateur de manuscrits   autographes	 éd  Jacques Renoux 	2000- 2006-	
707			0754-0590	Emballages magazine		1983-	Paris
720	FRBNF438334000000008		2274-1925	Happinez féminin  positif  inspirant le premier mindstyle magazine	 directeur de la publication Jean-Philippe Pécoul 	2014-	Paris
733	FRBNF343886950000000		0757-2271	Beaux-arts magazine		1983-	Levallois-Perret
746	FRBNF453283250000000		2556-5869	Graou magazine au pays des lettres jouer  lire  apprendre 3 à 6 ans	 directrice de la publication-rédactrice en chef et directrice artistique Anne-Bénédicte Schwebel 	2017-	Lyon
759	FRBNF391501970000004		1766-8719	Industrie pharma magazine	Société d 'expansion technique et économique	2004-	Gentilly
