N° notice AUT	N° notice BIB	ARK BIB	FRBNF Bib	Titre	ISNI	Nom	Prénom	Dates Auteur
11907286	ark:/12148/cb34633458q		34633458	Les Révélations des couleurs éthériques de nos auras		Henry	Judith	
11918746	ark:/12148/cb37713742b			Bleu	0000000114704939	Pastoureau	Michel	1947-....
11897572	ark:/12148/cb451711140			Marseille		Contrucci	Jean	1939-....
14413819	ark:/12148/cb45108648x		45108648	La route de l'or bleu		Bernard	Daniel	1948-....
11918746	ark:/12148/cb43772242h			Bleu		Pastoureau	Michel	1947-....
13613253	ark:/12148/cb37219354t			Histoire du bleu		Jacquemin	Frédérique	1969-....
14964561	ark:/12148/cb40333759x			Histoire de Loomy Loop rebaptisée Icy Loomyppour vous		Chavannes	Shîrîn	1972-....
12719295	ark:/12148/cb349678478		34967847	Les Couleurs qui guérissent		Amber	Reuben	
11918746	ark:/12148/cb388958840		38895884	Bleu	0000000114704939	Pastoureau	Michel	1947-....
14525078	ark:/12148/cb410496217		41049621	Bleu		Valtolina	Amelia	
11918746	ark:/12148/cb37719065h			Bleu	0000000114704939	Pastoureau	Michel	1947-....
13624873	ark:/12148/cb451077766			Bleu		Lamour	Élisabeth	1960-....
14955771	ark:/12148/cb30052510k			Mascarades monastiques et religieuses de toutes les nations du globe		Bar	Jacques-Charles	
11917188	ark:/12148/cb450199706			Bordeaux		Muller	Délie	19..-2011
11917188	ark:/12148/cb45044895p			Bordeaux		Muller	Délie	19..-2011
11917188	ark:/12148/cb45358534b			Bordeaux		Muller	Délie	
11917188	ark:/12148/cb45019958b			Bordeaux		Muller	Délie	
12105724	ark:/12148/cb41511997m			Marie-Antoinette		Vigée Le Brun	Louise-Élisabeth	
